id,nome,via,civico,Latitude,Longitude,stelle,totalePostiLetto,TOTroom,2room,2room_1,3room,Email,Tel,Website,municipio
416,Hotel Oriente,Via dello Statuto,58,41.8948561,12.5010036,2,58,27,4,17,4,info@hoteloriente.net,64873119,,1
417,Hotel Ottaviano Augusto,Via Bernardino Telesio,4:00 AM,41.9116088,12.4519264,3,56,24,,20,,amministrazione@hotelottavianoaugusto.it,3388912141,,1
418,Hotel Paisiello Parioli,Via Giovanni Paisiello,47,41.9198423,12.4922766,2,87,49,23,14,12,,,,2
419,Hotel Palace Nardo,Via Gorlago,65,41.9388706,12.3843151,3,55,38,24,11,3,palacenardo@gmail.com,630994535,,14
420,Hotel Palazzo Ripetta.,Via di Ripetta,231,41.9085298,12.4755444,5,153,78,3,75,,direzione.generale@palazzoripetta.com,63231144,,1
421,Hotel Palazzo Talia,Largo Del Nazareno,25,41.9028426,12.4835586,5,52,26,,26,,info@palazzotalia.com,6692521,www.palazzotalia.com,1
422,Hotel Pantheon,Via dei Pastini,131,41.8993552,12.4775378,4,28,12,2,6,2,info@hotelpantheon.it,66787746,,1
423,Hotel Paolo II,Via Paolo II,3,41.8984561,12.4541381,3,25,15,5,10,,altaserrasrl@email.it,335451897,www.hotelpaoloii.com,13
424,Hotel Parco La Borghesiana,Via Della Capanna Murata,120,41.8723989,12.6640578,4,111,58,11,42,4,,,,6
425,Hotel Paris,Via Firenze,57,41.9019249,12.4943684,3,100,50,14,25,8,s57@pec.net,3459443311,,1
426,Hotel Parker,Via Giovanni Giolitti,431,41.8931429,12.5124382,3,62,29,2,21,6,reservation@blamhotels.com,6770005,,1
427,Hotel Patria,Via Torino,36,41.9026426,12.4946942,3,99,52,14,30,7,info@hotelpatria.it,64814872,,1
428,Hotel Petra,Via Sante Vandi,76,41.8445463,12.6072904,3,21,9,,6,3,info@hotelpetra.it,67232444,,7
429,Hotel Piccadilly,Via Magnagrecia,122,41.8810582,12.5078903,3,93,55,19,34,2,info@hotelpiccadillyroma.it,677207017,www.hotelpiccadillyroma.it,7
430,Hotel Piccolo Borgo,Via delle Capannelle,134,41.8351143,12.5712169,3,88,48,9,38,1,amministrazione@piccoloborgo.it,672910187,,7
431,Hotel Pineta Palace,Via San Lino Papa,35,41.9195656,12.420909,4,478,194,,108,84,info@hotelpinetapalace.com,63013800,https://www.hotelpinetapalace.com/,14
432,Hotel Ping Pong,Lungomare Paolo Toscanelli,84,41.7292357,12.2786899,3,48,30,12,18,,info@hotelpingpongostia.com,65601733,www.hotelpingpongostia.com,10
433,Hotel Pisa,Via Pietro Micca,10,41.8934659,12.5115869,1,25,13,3,8,2,hotelpisaroma@gmail.com,645443835,www.hotelpisaroma.it,1
434,Hotel Planet,Via Milazzo,3,41.9016206,12.5043058,2,25,14,3,11,,biettus@hotmail.com,3404849287,,1
435,Hotel Poggio Verde,Via Poggio Verde,31,41.8565879,12.4184241,3,89,39,2,26,9,info@poggioverderoma.com,665192189,http://www.poggioverderoma.com/,11
436,Hotel Pomezia,Via dei Chiavari,12,41.8949243,12.4743307,2,51,25,4,16,5,hotelpomezia@bzarhotel.it,684030773,,1
437,Hotel Ponte Milvio,Via della Farnesina,23,41.9383472,12.4641562,3,46,24,3,20,1,info@hotelpontemilvio.com,633974309,https://www.hotelpontemilvio.com/,15
438,Hotel Porta Pia,Via Messina,25,41.9111488,12.5025759,3,25,19,13,6,,dedasrl@hotmail.com,3890545075,,2
439,hotel positano new,Via Palestro,49,41.9047618,12.5042162,2,18,10,4,4,2,mahabubitaly@gmail.com,3807719334,,1
440,Hotel Primavera,Piazza di San Pantaleo,3,41.8971497,12.4725544,2,33,15,2,8,5,hotelprimaveraroma@gmail.com,668803109,www.hotelprimavera-roma.it,1
441,Hotel Principe,Via Principe Amedeo,67,41.8988202,12.5000552,2,15,9,4,4,1,hrsrl78@gmail.com,3334677400,www.hotel principe claud .it,1
442,Hotel Principe Eugenio,Via Principe Eugenio,92,41.8935604,12.5090256,3,36,16,,13,2,principeeugenio@tiscali.it,677206094,,1
443,Hotel Principe Torlonia,Via Carlo Fea,3,41.9194233,12.517821,4,59,26,2,19,1,info@hotelprincipetorlonia.com,688801989,,2
444,Hotel Principessa Isabella,Via Sardegna,149,41.9099298,12.4937363,4,92,43,4,31,6,info@hotelprincipessaisabella.com,6484523,www.hotelprincipessaisabella.eu,1
445,Hotel Priscilla,Via Calabria,17,41.9099516,12.4973164,3,79,36,3,23,10,info@hotelpriscilla.it,642817602,www.hotelpriscilla.it,1
446,Hotel Quirinale,Via Nazionale,7,41.9013589,12.4948971,4,490,209,4,140,54,info@hotelquirinale.it,64707,,1
447,Hotel Raffaello,Via Urbana,3,41.8977558,12.4953088,3,88,41,5,29,3,amministrazione@rgrhotels.it,683467736,www.hotelraffaello.it,1
448,Hotel Regency,Via Romagna,42 A,41.9099552,12.4940598,4,82,41,,41,,info@theregencyrome.it,694682000,,1
449,Hotel Regno,Via del Corso,331,41.8999132,12.4807882,3,59,23,,15,3,valerioleopoldoceccarelli@gmail.com,684009850,https://www.hotelregno.com/,1
450,Hotel Relais De La Poste,Via del Corso,117,41.9055325,12.4785868,3,25,14,3,11,,aenaria75srl@legalmail.it,3395220565,,1
451,Hotel Relais Dei Papi,Via dei Gracchi,161,41.9083392,12.4642597,3,84,40,2,33,4,nicosiaaaa2000@yahoo.it,63200921,,1
452,Hotel Relais Manzoni,Via Carlo Emanuele I,14,41.8910181,12.5096265,3,14,11,8,3,,info@relaismanzoni.it,685301113,http://relaismanzoni.it/,1
453,Hotel Relais San Pietro,Viale Delle Milizie,134,41.9110018,12.4564254,3,25,13,1,12,,dantemasellis@libero.it,984518117,,1
454,Hotel Relais Villa Coppede'.,Via Tronto,1,41.919876,12.5037457,4,24,11,2,6,2,amministrazione@artcityhotel.it,662205529,,2
455,Hotel & residence Magnolia,Via di Valle Aurelia,116,41.9076727,12.4374697,2,72,22,1,21,,,,,14
456,Hotel Rinascimento,Via del Pellegrino,122,41.8972789,12.4683548,4,22,13,6,6,,info@hotelrinascimento.com,3.91E+11,https://www.hotelrinascimento.com/,1
457,Hotel- Ripa- Roma,Via Luigi Gianniti,21,41.8826246,12.4706514,4,416,200,,192,,frontdesk@hotelriparoma.com,658611,https://www.hotelriparoma.com,12
458,Hotel Roi,Piazza dei Re di Roma,64,41.8822792,12.5149346,1,18,11,4,7,,info@roihotel.com,670399394,,7
459,Hotel Roma Aurelia Antica,Via degli Aldobrandeschi,223,41.8755912,12.3947649,4,590,282,,257,24,info@hotelromaaureliantica.com,3484942501,,12
460,Hotel Roma Italia Viminale,Via Venezia,18,41.8997915,12.4929352,2,41,23,8,12,3,rm.viminale@hotelbb.com,64828355,,1
461,Hotel Roma Pietralata,Via Pan,66,41.9146349,12.5542948,3,129,68,17,41,10,rm.pietralata@hotelbb.com,64510612,https://www.hotel-bb.com/it,4
462,Hotel Roma San Lorenzo - Termini,Via dei Sabelli,177,41.8989179,12.5188443,3,107,67,29,36,2,rm.sanlorenzo@hotelbb.com,64468634,https://www.hotel-bb.com/it,2
463,Hotel Roma Tiburtina Metro,Via di Ponte Mammolo,28,41.9227292,12.5702613,3,25,15,5,10,,info@hotelromatiburtina.it,690209440,www.hotelromatiburtina.it,4
464,Hotel Roma Torvergata,Via Vico Viganò,24,41.8662167,12.6300982,4,400,210,21,188,1,amministrazione@trevipalace.com,6690101,,6
465,Hotel Roma Tuscolana - San Giovanni,Via Assisi,51,41.8795814,12.5256481,3,248,120,1,110,9,rm.tuscolana@hotelbb.com,6784692,http://hotelbb.com,7
466,Hotel Roma Vaticano,Via Attilio Regolo,19,41.9083168,12.4647211,1,12,7,3,3,1,,,,1
467,Hotel Romulus,Via Salaria,1069,41.9743023,12.5041266,3,176,72,2,36,34,info@hotelromulus.com,68801669,,3
468,Hotel Rosa Italia,Via Treviso,37,41.9081317,12.5145424,2,15,13,11,2,,rosaitaliasel@pec.it,3314314807,,2
469,Hotel Royal Bissolati,Via Leonida Bissolati,40 A,41.9052571,12.4914026,4,65,31,,28,3,info@hotelroyalbissolati.com,681156688,www.hotelroyalbissolati.com,1
470,hotel sallustio,Via Flavia,84,41.9073287,12.4972968,1,12,8,4,4,,info.hotelsallustio@gmail.com,68551287,,1
471,Hotel San Giusto,Piazza Bologna,58,41.9143182,12.5214227,3,124,67,18,41,8,sangiusto@garibaldihotels.it,644244598,,2
472,Hotel San Pietro,Via Cardinal Cassetta,9,41.8976459,12.4507845,3,83,39,8,19,11,info@hotelsanpietro.com,6630876,www.hotelsanpietro.com,13
473,Hotel San Remo,Via D'Azeglio,36,41.8998142,12.4976524,3,213,78,7,19,41,booking@sanremoroma.com,691516000,,1
474,Hotel Santa Maura 2,Via Casilina,1038,41.8676961,12.5880998,4,95,41,1,26,14,hotelsantamaura2@gmail.com,623267630,,6
475,Hotel Santa Prisca,Largo Manlio Gelsomini,25,41.8788761,12.4793197,2,89,49,9,40,,hsprisca@hotelsantaprisca.it,65750469,,1
476,Hotel Seiler,Via Firenze,48,41.9026249,12.4939786,2,24,17,12,3,2,diego.allocca@libero.it,3483711568,,1
477,Hotel Select,Via Vittorio Bachelet,6,41.9043326,12.5037565,3,37,21,5,16,,lucaludovici1@gmail.com,3355265975,,1
478,Hotel Shasa,Via Padre Lino Da Parma,11,41.9315773,12.57856,3,25,14,3,11,,info@shasahotel.com,64101633,http://www.shasahotel.com/prenotazioni.html,4
479,Hotel Siracusa,Via Marsala,50,41.902023,12.5032529,3,197,140,84,55,1,hotelsiracusa@raelihotels.it,6490191,,1
480,Hotel Sirenetta,Lungomare Paolo Toscanelli,46,41.7281374,12.2822895,3,93,59,29,26,4,info@hotelsirenettaostia.com,65622310,,10
481,Hotel Sky Roma,Via Napoleone III,75,41.8962967,12.5025935,2,13,8,3,5,,rossoitalia2023@gmail.com,3332835718,,1
482,hotel smeraldo,Vicolo de' Chiodaroli,9,41.8946699,12.474447,3,107,49,2,36,11,info@smeraldoroma.com,66892121,,1
483,Hotel Sole Al Pantheon,Piazza della Rotonda,63,41.8995572,12.4770898,4,49,25,3,20,2,info@hotelsolepantheon.com,66780441,www.hotelsolealpantheon.com,1
484,Hotel Solis-Hs311,Via Cavour,311,41.8938191,12.4893194,3,34,17,3,11,3,info@hotelsolis.com,669923395,,1
485,Hotel Sourire,Via delle Terme Deciane,3,41.8825724,12.4839854,3,62,22,,9,8,sourire@tiscali.it,65750958,www.sourirehotel.it,1
486,Hotel Star,Via Salaria,,42.0149353,12.5658723,3,46,25,4,21,,info@hotelstar-roma.it,68887845,http://www.hotelstar-roma.it/,3
487,Hotel Suite Caesar,Via Milazzo,14,41.9019355,12.5041727,2,18,9,3,3,3,suitecaesar@gmail.com,64463124,www.suitecaesarhotelroma.it,1
488,Hotel Sweet Home,Via Principe Amedeo,47,41.8991216,12.4996877,2,25,13,2,10,1,info@hotelsweethome.it,64880954,www.hotelsweethome.it,1
489,Hotel Teatro Di Pompeo,Largo del Pallaro,8,41.8955011,12.4736855,3,25,13,1,12,,booking@hotelteatrodipompeo.it,668300170,http://www.hotelteatrodipompeo.it/,1
490,Hotel Tempio Di Pallade,Via Giovanni Giolitti,425,41.8932966,12.5123124,3,94,41,2,26,12,amministrazione@hoteltempiodipallade.it,670451521,,1
491,Hotel Termini,Via Giovanni Amendola,77,41.8996164,12.5002273,2,16,8,1,6,1,,,,1
492,Hotel Terrazza Magenta,Via Magenta,39,41.902297,12.5038605,1,8,7,6,1,,dennislegaspi95@yahoo.com,3713997827,,1
493,hotel The Brand,Via degli Aldobrandeschi,295,41.8749051,12.3940487,4,178,84,,79,,info@thebrandhotelroma.com,68603341,,12
494,Hotel The Corner Roma,Viale Aventino,121,41.880532,12.4846964,4,18,9,,9,,federicodellarocca@gmail.com,3488875963,,1
495,Hotel The H'all Tailor Suite,Via Giuseppe Pisanelli,23,41.9137109,12.4730133,5,31,14,,11,3,info@thehallroma.com,632110128,www.thehallroma.com,2
496,Hotel Tito,Via Marghera,29,41.9025276,12.5038521,3,23,15,7,8,,hoteltito@hotmail.com,3939249008,,1
497,Hotel Touring,Via Principe Amedeo,2,41.9008928,12.497061,2,53,30,13,11,6,h.touring@tiscali.net,64827911,www.hoteltouring.net,1
498,Hotel Tre Stelle,Via San Martino della Battaglia,11,41.9053853,12.5045229,2,75,41,13,22,6,,,,1
499,Hotel Trecento,Via del Corso,300,41.8972875,12.4818018,3,25,13,1,12,,luxurycodesrl@legalmail.it,3346444683,,1
500,Hotel Trilussa Palace Congress & Spa,Piazza Ippolito Nievo,27,41.8800428,12.4664185,4,93,40,2,25,11,info@trilussapalacehotel.it,65881963,,12
501,Hotel Triviho,Via Barberini,50,41.9045684,12.4919999,3,21,9,,6,3,info@triviho.com,645618210,,1
502,Hotel Valentino Palace,Via Filippo Turati,34,41.8987142,12.5015123,3,22,11,2,7,2,valentinoinn@gmail.com,3458910074,,1
503,Hotel Valeri,Largo dell'Amba Aradam,3,41.8831402,12.4990643,3,21,10,,9,1,,,,1
504,Hotel Valerï¿½,Via dei Valeri,1,41.883969,12.4993884,3,17,8,,7,1,info@hotelvaleri.it,677591793,,1
505,Hotel Valle,Via Cavour,134,41.8967607,12.4955879,3,93,42,2,30,9,info@hotelvalle.it,64815736,www.hotelvalle.it,1
506,Hotel Varese,Via Varese,26,41.9030508,12.5053277,3,60,34,14,14,6,direzione@hotelvareseroma.com,645777980,www.hotelvareseroma.com,1
507,Hotel Veneto Palace,Via Piemonte,63,41.9090066,12.4932404,4,148,70,1,60,9,info@hotelveneto.com,62037,https://www.hotelveneto.com/,1
508,Hotel Venustas,Via Vittoria Colonna,27,41.90531,12.4718219,3,25,12,2,7,3,segreteria@bestsuitesroma.it,3200747226,,1
509,Hotel Verona,Via di Santa Maria Maggiore,154,41.8973857,12.496656,3,74,37,,37,,,,,1
510,Hotel Vespasiano,Via Vespasiano,49,41.9079924,12.4569789,4,24,12,,12,,info@hotelvespasiano.it,691511414,www.hotelvespasiano.it,1
511,Hotel Via Veneto L'essenza Di Roma,Via Vittorio Veneto,118,41.9084963,12.488791,5,16,8,2,5,,amministrazione@hotelviaveneto.it,669325067,https://www.hotelviaveneto.it/,1
512,Hotel Vienna,Via Salvatore Barzilai,203,41.8411391,12.5971238,1,79,37,4,25,7,info@hv2017srl.it,67234219,,7
513,Hotel Viennese,Via Marsala,64,41.9017847,12.5034709,1,14,7,1,5,1,rafroma08@gmail.com,3472642437,,1
514,Hotel Villa Eur Parco Dei Pini,Piazzale Marcellino Champagnat,2,41.8227511,12.4746934,3,180,93,8,83,2,info@villaeur.it,654220627,www.villaeur.com,9
515,Hotel Villa Grazioli,Via Salaria,241,41.9216645,12.5005461,4,45,30,15,15,,amministrazione@villagrazioli.it,68416587,www.villagrazioli.it,2
516,Hotel Villa Maria Regina,Via della Camilluccia,687,41.9493587,12.4550979,4,230,115,15,85,15,leonetta.rossi@villamariaregina.com,63629071,www.villamariaregina.com,15
517,Hotel Villa Morgagni,Via Giovanni Battista Morgagni,25,41.9101061,12.5110751,4,60,33,6,27,,info@villamorgagni.it,644202190,www.villamorgagni.it,2
518,Hotel Villa Pamphili,Via della Nocetta,105,41.882153,12.4322369,4,470,235,,235,,residentmanager@hotelvillapamphiliroma.com,640064500,https://www.hotelvillapamphiliroma.com/,12
519,Hotel Villa Pirandello,Via Antonio Bosio,15 B,41.9164443,12.5146115,3,20,14,8,6,,info@villapirandello.it,64403880,,2
520,Hotel Villa Zaccardi,Circonvallazione Gianicolense,226,41.8727949,12.4495039,4,58,31,10,18,,info@zaccardhotels.it,3391127392,,12
521,Hotel Villafranca,Via Villafranca,9,41.9051419,12.504997,4,198,99,7,85,7,info@hotelvillafrancaroma.it,64440364,,1
522,Hotel Villarosa,Via Giovanni Prati,1,41.873054,12.4627565,3,106,53,17,20,15,amministrazione@hotelvillarosaroma.eu,65883643,www.hotelvillarosaroma.eu,12
523,Hotel Viminale,Via Cesare Balbo,31,41.8983006,12.4950987,4,81,43,7,34,2,hotelviminale@bzarhotel.it,684030333,,1
524,Hotel Vintage,Via Torre di Mezzavia,27,41.837598,12.5947685,4,240,120,,120,,vintage2018@gmail.com,694354360,www.vintagehotelrome.it,7
525,Hotel Virgilio,Via Palermo,30,41.8990496,12.4920166,3,63,42,22,19,1,info@hotelvirgilio.it,64884360,www.hotelvirgilio.it,1
526,Hotel Vite,Via della Vite,14,41.9034096,12.4799119,3,49,23,4,12,7,booking@infinityhotel.it,693579480,,1
527,Hotel Xx Settembre,Via del Macao,6,41.905882,12.4998524,3,24,15,6,9,,amministrazione@bzarhotel.it,64467215,,1
528,Hotelokapi,Via Della Penna,57,41.9095171,12.4750741,1,23,20,18,1,1,info@okapirooms.it,632609815,,1
529,I Casali OC Hotel,Via Tiburtina,1352,41.9375424,12.6198679,4,73,41,13,26,1,,,,4
530,Hotel Ibiza,Via Forlì,14,41.910669,12.515788,2,16,8,,8,,,,,2
531,Hotel Igea,Via Principe Amedeo,97,41.8979932,12.5015391,3,73,42,16,21,5,,,,1
532,Hotel Il Cantico,Via del Cottolengo,50,41.8971413,12.4484919,3,131,71,13,56,2,,,,13
533,Hotel Il Papavero,Via Castelfidardo,50,41.9065554,12.5009522,1,33,10,,3,1,,,,1
534,Hotel Isa,Via Cicerone,39,41.9068858,12.4689745,4,91,54,17,37,,,,,1
535,J Maluni City Hotel,Viale delle Provincie,103,41.90889,12.52129,4,83,42,1,41,,info@jmalunicityhotel.it,640085072,http://jmalunicityhotel.it,2
536,Jc Hotel,Via del Fosso di Acqua Acetosa Ostiense,43,41.7993831,12.479688,4,24,12,,12,,,,,9
537,Hotel Julia,Via Rasella,29,41.9024752,12.487877,3,68,33,8,18,4,,,,1
538,Hotel Katty,Via Palestro,35,41.905773,12.5030686,1,20,9,1,6,1,amministrazione@hotelkatty.it,645426337,,1
539,Hotel Kennedy,Via Filippo Turati,62,41.8985106,12.5021369,3,86,40,3,30,5,,,,1
540,Hotel Kennedy Ii,Via Filippo Turati,62,41.8985106,12.5021369,2,25,12,2,8,1,,,,1
541,Kolbe Hotel Rome,Via di San Teodoro,44,41.8901821,12.4839905,4,181,71,1,39,22,,,,1
542,Hotel Kriss,Via Treviso,37,41.9081317,12.5145424,2,25,13,1,12,,,,,2
543,Hotel Kristi,Via Collina,24,41.9081243,12.4977868,3,15,10,5,5,,,,,1
544,Hotel La Locanda Del Borgo,Via Nomentana,1330,41.9644998,12.5968211,2,22,18,14,4,,,,,4
545,Hotel La Lumiere Di Piazza Di Spagna,Via Belsiana,72,41.904922,12.4795615,3,20,10,,10,,,,,1
546,Hotel La Rosa,Via Carlo Alberto,71,41.8954367,12.5025202,1,10,5,,5,,,,,1
547,Hotel La Siesta,Via Pontina,507,41.7852189,12.4491021,1,24,16,8,8,,,,,9
548,Hotel Laurence,Via Pietro Baragiola,18,41.8487265,12.6228628,3,108,54,,54,,,,,6
549,Hotel Laurentia,Largo degli Osci,63,41.8972446,12.5136743,3,82,41,4,34,2,,,,2
550,Hotel Lazzari,Via Castelfidardo,31,41.9064508,12.5007535,1,21,13,6,6,1,,,,1
551,Le Boutique Hotel San Pietro,Via della Stazione Vaticana,1,41.9002333,12.4532594,4,16,9,2,7,,info@elleboutiquehotel.it,645434591,,13
552,Hotel Le Clarisse,Via dell'Arco della Ciambella,19,41.8968455,12.4769666,3,24,11,,9,2,,,,1
553,Hotel Le Petit,Via Torino,122,41.9017401,12.4957707,3,23,11,1,8,2,info@hotellepetit.com,3888558521,,1
554,Hotel Licia,Via Principe Amedeo,76,41.898959,12.5002938,1,25,11,2,6,1,,,,1
555,Hotel Lilium,Via Venti Settembre,58,41.9076104,12.4986381,3,27,14,2,11,1,liliumhotel@gmail.com,64741133,https://www.liliumhotel.it/it/,1
556,Hotel Living Room,Via Solferino,9,41.903514,12.5015055,2,23,9,1,2,6,,,,1
557,Hotel Lodi,Via Oristano,14,41.8860753,12.5228343,2,25,10,,5,5,,,,7
558,Loly Boutique Hotel Roma,Via Emilio Morosini,17,41.886047,12.4683786,4,58,29,,29,,info@lolyhotel.com,686798001,www.lolyhotel.com,1
559,Hotel Lucy,Via Magenta,13,41.9033759,12.5024959,1,13,7,4,,3,,,,1
560,Hotel Ludovisi Palace,Via Ludovisi,43,41.9070262,12.4882337,4,116,55,5,44,1,info@ludovisipalacehotel.com,642020396,,1
561,Lumi Hotel,Via Principe Amedeo,67,41.8988202,12.5000552,1,22,10,1,7,1,info@fghotel.it,647824096,https://www.hotelflowergardenrome.com/,1
562,Hotel Major Aventinus,Via di Sant'Anselmo,10,41.8818073,12.4798006,1,41,29,19,8,2,,,,1
563,Mangili Garden Hotel,Via Giuseppe Mangili,31,41.9203945,12.4812949,3,23,11,,10,1,gardenmangilihotel@gmail.com,645597297,www.hotelgardenroma.it,2
564,Hotel Manzoni,Via Balilla,1,41.893328,12.5114525,2,20,13,6,7,,,,,1
565,Hotel Marc'aurelio,Via Gregorio XI,135,41.8997175,12.4197243,4,242,121,,121,,,,,13
566,Hotel Marco Polo,Via Magenta,39,41.902297,12.5038605,3,62,27,1,19,5,info@hotelmarcopoloroma.it,64474091,www.hotelmarcopoloroma.it,1
567,Hotel Marechiaro,Via Gioberti,30,41.8988934,12.500825,2,47,18,1,5,12,info@hotelmarechiaro.com,64465367,www.hotelmarechiaro.com,1
568,Hotel Marghera,Via Marghera,29,41.9025276,12.5038521,3,58,25,3,14,5,,,,1
569,Hotel Mari 2,Via Calatafimi,38,41.9051479,12.5002325,1,36,19,2,17,,,,,1
570,Hotel Mariano,Piazza Manfredo Fanti,19,41.8975209,12.503142,3,78,33,5,11,17,,,,1
571,Marini Park Hotel,Via di Castel di Leva,258,41.7879931,12.5162246,3,124,53,8,33,,,,,9
572,Martino Ai Monti,Via Domenichino,7,41.8954717,12.4990722,1,13,7,2,4,1,,,,1
573,Martis Palace Hotel,Via San Giuseppe Calasanzio,1,41.897072,12.4736407,4,52,26,4,20,,alessandro.montaldo@hotellunetta.com,63218368,,1
574,Martius Private Suites Hotel,Via Degli Uffici Del Vicario,49,41.9010781,12.4768285,4,49,19,,12,3,amministrazione@martiusprivatesuites.com,3486056626,,1
575,Mas Boutique Hotel Rome,Via del Corso,504,41.9083236,12.4772484,3,16,7,2,2,2,citylifesrl@pec.it,3286038194,,1
576,Massimi City Garden Hotel,Largo Vincenzo Ambrosio,9,41.9255712,12.4418585,4,119,79,39,40,,info@massimicitygarden.com,640075792,www.massimicitygarden.com,14
577,Master Trevi Hotel,Via In Arcione,98,41.9016574,12.4851737,4,76,20,,,20,info@stay-master.com,694802445,,1
578,Mecenate Palace Hotel,Via Carlo Alberto,3,41.8967974,12.4999125,4,127,61,6,44,11,,,,1
579,Hotel Meeting,Via Lucio Mariani,52,41.8225563,12.5825966,3,97,44,7,23,12,,,,7
580,Hotel Melting Pot Rome,Via Luigi Pianciani,17,41.8929908,12.5085519,2,22,10,2,5,2,daniele.fraioli@gmail.com,3398139195,,1
581,Hotel Meridiana,Via Calatafimi,38,41.9051479,12.5002325,2,24,12,1,10,1,,,,1
582,Mf Hotel,Via Savoia,44,41.9129162,12.4990493,3,22,15,8,7,,info@mfhotel.it,685357656,www.mfhotel.it,2
583,Hotel Miami,Via Nazionale,230,41.9010294,12.4932468,3,76,41,8,31,2,,,,1
584,Mihotel Home,Lungotevere Michelangelo,9,41.9132973,12.4695532,3,40,9,,7,2,info@cfromerooms.com,3318066295,www.cfromerooms.com,1
585,Hotel Milazzo,Via Milazzo,3,41.9016206,12.5043058,2,21,11,1,10,,,,,1
586,Hotel Milo,Via Principe Amedeo,76,41.898959,12.5002938,3,55,28,7,16,4,,,,1
587,Hotel Milton Roma,Via Emanuele Filiberto,155,41.8905399,12.5063996,4,152,92,36,52,4,,,,1
588,Hotel Mon Repos,Via della Stazione di Cesano,330,42.0622864,12.3269954,2,25,17,9,8,,,,,15
589,Hotel Monterosa,Via Alfredo Cappellini,46,41.8975347,12.5048211,1,8,4,1,2,1,,,,1
590,Monti 66 Hotel,Via Nazionale,66,41.899339,12.491388,2,20,10,3,4,3,iolematilde@gmail.com,3332461025,,1
591,Monti Palace Hotel,Via Cavour,185,41.8954262,12.4938437,4,132,55,11,22,15,account@montipalacehotel.com,6480231,,1
592,Hotel Moscatello,Via Principe Eugenio,51,41.8937372,12.5076691,1,33,14,,9,5,,,,1
593,Hotel Myosotis,Piazza Pupinia,2,41.861836,12.6413177,4,24,,,,,,,,6
594,Mytale Creative Academy Hotel,Piazza degli Zingari,4,41.895673,12.4929482,4,30,9,,3,3,hm@mytalerome.com,3490695925,www.mytalerome.com,1
595,Mz Hotel,Via della Trinità dei Pellegrini,12,41.8930052,12.4724473,3,30,15,,15,,info@colonnasuite.com,669208008,,1
596,Hotel Napoleon,Piazza Vittorio Emanuele II,105,41.8938068,12.5039149,4,153,74,11,47,16,infobook@napoleon.it,64467264,https://www.napoleon.it/,1
597,Hotel Nardizzi Americana,Via Firenze,38,41.9033814,12.4929939,2,52,27,2,22,3,,,,1
598,Hotel Nautilus,Via Germanico,198,41.9091417,12.463005,3,23,11,2,6,3,info@hotelnautilusroma.com,63242118,www.hotelnautilusroma.com,1
599,Navona Colors Hotel,Via dell'Orso,38,41.9019028,12.4738199,3,42,18,,13,4,,,,1
600,Navona Essence Hotel,Via dei Cappellari,24,41.8960738,12.4709084,3,15,7,,6,1,booking@navonaessencehotel.it,687605186,www.navonaessencehotel.it,1
601,Navona Street Hotel,Via Giovanni Giraud,53,41.8995347,12.4673475,3,13,8,3,5,,fabiana.sollecchia@gmail.com,3357108009,,1
602,Navona Theatre Hotel,Vicolo dei Granari,3,41.8984296,12.4717146,3,25,11,,8,3,,,,1
603,Hotel Nerva,Via Tor de' Conti,3,41.8946574,12.4871212,3,35,19,6,11,1,,,,1
604,Hotel New Angel In Rome,Via Marianna Dionigi,43,41.9059535,12.4715743,1,17,9,1,8,,,,,1
605,Hotel New York,Via Magenta,13,41.9033759,12.5024959,1,19,11,6,2,3,,,,1
606,Hotel Nicholas,Via del Torraccio,223,41.8531329,12.6513915,1,13,6,1,4,,,,,6
607,Hotel Nizza,Via D'Azeglio,16,41.9003779,12.4981159,3,175,66,4,31,15,,,,1
608,Nova Domus Hotel,Via Girolamo Savonarola,38,41.9120537,12.4506927,1,100,57,19,35,1,claudio@novadomushotel.it,6399511,,1
609,Hotel Novecento,Via Carlo Emanuele I,12,41.8911342,12.5095257,3,43,23,3,20,,,,,1
610,Hotel Oceania,Via Firenze,38,41.9033814,12.4929939,2,23,9,1,2,6,,,,1
611,Hotel Octavia,Via Giovanni Gaetano Bottari,38,41.9602281,12.413477,3,25,17,9,8,,,,,14
612,Oly Hotel,Via del Santuario Regina degli Apostoli,36,41.851744,12.4826655,4,198,103,8,95,,booking@bvolyhotel.com - info@bvolyhotel.com,6594441,https://www.bvolyhotel.com//,8
613,Orange Hotel,Via Crescenzio,86,41.9061738,12.4598486,4,55,28,4,21,3,info@orangehotelrome.com,66868969,www.orangehotelrome.com,1
614,Hotel Orlanda,Via Principe Amedeo,76,41.898959,12.5002938,2,17,9,1,8,,,,,1
615,Hotel Orto Di Roma,Via di Grotta Perfetta,551,41.8371151,12.5104219,3,71,46,21,25,,hotelpalmieri@gmail.com,65042224,www.borgopalmieri.com,8
616,Osimar Hotel,Via Felice Grossi Gondi,87,41.9202895,12.5252542,3,50,27,5,21,1,,,,2
617,Ostia Antica Park Hotel,Viale dei Romagnoli,1041 A,41.7665665,12.3152062,3,148,80,15,63,1,info@ostiaanticaparkhotel.it,65652089,www.ostiaanticaparkhotel.it,10
618,Otivm Hotel,Via D'Aracoeli,11:00 AM,41.8947913,12.4803213,4,46,20,,14,6,info@hotiumhotel.eu,640410547,,1
